attack,dataset,model,defense,f1_clean,f1_attacked,delta_f1
clean,spamassassin,minilm_lr.joblib,normalize,0.28641975308641976,0.28641975308641976,0.0
obfuscate,spamassassin,minilm_lr.joblib,normalize,0.28641975308641976,0.11940298507462686,-0.16701676801179288
paraphrase_like,spamassassin,minilm_lr.joblib,normalize,0.28641975308641976,0.28287841191067,-0.0035413411757497792
prompt_injection,spamassassin,minilm_lr.joblib,normalize,0.28641975308641976,0.2890995260663507,0.002679772979930939
clean,spamassassin,minilm_lr.joblib,none,0.15472779369627507,0.15472779369627507,0.0
obfuscate,spamassassin,minilm_lr.joblib,none,0.15472779369627507,0.08536585365853659,-0.06936194003773848
paraphrase_like,spamassassin,minilm_lr.joblib,none,0.15472779369627507,0.15472779369627507,0.0
prompt_injection,spamassassin,minilm_lr.joblib,none,0.15472779369627507,0.17270194986072424,0.017974156164449168
clean,spamassassin,spamassassin_minilm_lr.joblib,normalize,0.3596638655462185,0.3596638655462185,0.0
obfuscate,spamassassin,spamassassin_minilm_lr.joblib,normalize,0.3596638655462185,0.3987138263665595,0.03904996082034101
paraphrase_like,spamassassin,spamassassin_minilm_lr.joblib,normalize,0.3596638655462185,0.3581081081081081,-0.0015557574381103723
prompt_injection,spamassassin,spamassassin_minilm_lr.joblib,normalize,0.3596638655462185,0.3683360258481422,0.008672160301923693
clean,spamassassin,spamassassin_minilm_lr.joblib,none,0.3163097199341021,0.3163097199341021,0.0
obfuscate,spamassassin,spamassassin_minilm_lr.joblib,none,0.3163097199341021,0.30526315789473685,-0.01104656203936527
paraphrase_like,spamassassin,spamassassin_minilm_lr.joblib,none,0.3163097199341021,0.3140495867768595,-0.0022601331572426053
prompt_injection,spamassassin,spamassassin_minilm_lr.joblib,none,0.3163097199341021,0.3218390804597701,0.005529360525667992
clean,spamassassin,spamassassin_tfidf_char_svm.joblib,normalize,0.13490725126475547,0.13490725126475547,0.0
obfuscate,spamassassin,spamassassin_tfidf_char_svm.joblib,normalize,0.13490725126475547,0.1360544217687075,0.001147170503952022
paraphrase_like,spamassassin,spamassassin_tfidf_char_svm.joblib,normalize,0.13490725126475547,0.13490725126475547,0.0
prompt_injection,spamassassin,spamassassin_tfidf_char_svm.joblib,normalize,0.13490725126475547,0.1054481546572935,-0.029459096607461974
clean,spamassassin,spamassassin_tfidf_char_svm.joblib,none,0.09317803660565724,0.09317803660565724,0.0
obfuscate,spamassassin,spamassassin_tfidf_char_svm.joblib,none,0.09317803660565724,0.07809847198641766,-0.01507956461923958
paraphrase_like,spamassassin,spamassassin_tfidf_char_svm.joblib,none,0.09317803660565724,0.09333333333333334,0.00015529672767609914
prompt_injection,spamassassin,spamassassin_tfidf_char_svm.joblib,none,0.09317803660565724,0.077834179357022,-0.01534385724863524
clean,spamassassin,spamassassin_tfidf_word_lr.joblib,normalize,0.13598673300165837,0.13598673300165837,0.0
obfuscate,spamassassin,spamassassin_tfidf_word_lr.joblib,normalize,0.13598673300165837,0.12837837837837837,-0.007608354623279995
paraphrase_like,spamassassin,spamassassin_tfidf_word_lr.joblib,normalize,0.13598673300165837,0.13333333333333333,-0.002653399668325035
prompt_injection,spamassassin,spamassassin_tfidf_word_lr.joblib,normalize,0.13598673300165837,0.12353923205342238,-0.01244750094823599
clean,spamassassin,spamassassin_tfidf_word_lr.joblib,none,0.11647254575707154,0.11647254575707154,0.0
obfuscate,spamassassin,spamassassin_tfidf_word_lr.joblib,none,0.11647254575707154,0.11186440677966102,-0.004608138977410525
paraphrase_like,spamassassin,spamassassin_tfidf_word_lr.joblib,none,0.11647254575707154,0.11352253756260434,-0.0029500081944671963
prompt_injection,spamassassin,spamassassin_tfidf_word_lr.joblib,none,0.11647254575707154,0.10720268006700168,-0.009269865690069864
clean,spamassassin,tfidf_char_svm.joblib,normalize,0.3062645011600928,0.3062645011600928,0.0
obfuscate,spamassassin,tfidf_char_svm.joblib,normalize,0.3062645011600928,0.21649484536082475,-0.08976965579926804
paraphrase_like,spamassassin,tfidf_char_svm.joblib,normalize,0.3062645011600928,0.3004694835680751,-0.0057950175920176705
prompt_injection,spamassassin,tfidf_char_svm.joblib,normalize,0.3062645011600928,0.38445807770961143,0.07819357654951864
clean,spamassassin,tfidf_char_svm.joblib,none,0.4618181818181818,0.4618181818181818,0.0
obfuscate,spamassassin,tfidf_char_svm.joblib,none,0.4618181818181818,0.4266666666666667,-0.0351515151515151
paraphrase_like,spamassassin,tfidf_char_svm.joblib,none,0.4618181818181818,0.4570383912248629,-0.0047797905933189
prompt_injection,spamassassin,tfidf_char_svm.joblib,none,0.4618181818181818,0.5254515599343186,0.06363337811613679
clean,spamassassin,tfidf_llm_lr.joblib,normalize,0.13714285714285715,0.13714285714285715,0.0
obfuscate,spamassassin,tfidf_llm_lr.joblib,normalize,0.13714285714285715,0.10650887573964497,-0.030633981403212177
paraphrase_like,spamassassin,tfidf_llm_lr.joblib,normalize,0.13714285714285715,0.12138728323699421,-0.015755573905862935
prompt_injection,spamassassin,tfidf_llm_lr.joblib,normalize,0.13714285714285715,0.12209302325581395,-0.015049833887043201
clean,spamassassin,tfidf_llm_lr.joblib,none,0.13031161473087818,0.13031161473087818,0.0
obfuscate,spamassassin,tfidf_llm_lr.joblib,none,0.13031161473087818,0.11014492753623188,-0.0201666871946463
paraphrase_like,spamassassin,tfidf_llm_lr.joblib,none,0.13031161473087818,0.12,-0.010311614730878188
prompt_injection,spamassassin,tfidf_llm_lr.joblib,none,0.13031161473087818,0.12034383954154727,-0.00996777518933091
clean,spamassassin,tfidf_word_lr.joblib,normalize,0.14647887323943662,0.14647887323943662,0.0
obfuscate,spamassassin,tfidf_word_lr.joblib,normalize,0.14647887323943662,0.11143695014662756,-0.035041923092809055
paraphrase_like,spamassassin,tfidf_word_lr.joblib,normalize,0.14647887323943662,0.13105413105413105,-0.015424742185305568
prompt_injection,spamassassin,tfidf_word_lr.joblib,normalize,0.14647887323943662,0.13714285714285715,-0.00933601609657947
clean,spamassassin,tfidf_word_lr.joblib,none,0.1348314606741573,0.1348314606741573,0.0
obfuscate,spamassassin,tfidf_word_lr.joblib,none,0.1348314606741573,0.11527377521613832,-0.019557685458018975
paraphrase_like,spamassassin,tfidf_word_lr.joblib,none,0.1348314606741573,0.12429378531073447,-0.01053767536342283
prompt_injection,spamassassin,tfidf_word_lr.joblib,none,0.1348314606741573,0.12464589235127478,-0.010185568322882518
